"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20078","Login and open Sales Enquiry module","chromium","2026-09-04","failed","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","5","Verify estimation status in Request Internal is updated to Pending For Approval after submission","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","5","Quotation Manager: Verify Quotation Manager approves the quotation and the Approved status is reflected","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","4","Verify that the Sales Enquiry status moves to Quotation Pending and the quotation is generated and submitted for approval","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","3","Verify Sales Order Manager approves the sales order and the approval is confirmed successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","4","Quotation: Verify checklist is submitted successfully and the Pending Check List Approval status is reflected","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","8","Verify BOQ summary is saved successfully with variation","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","3","Verify that the sales order is submitted for approval and the status is updated to Pending Sales Order Approval","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","6","Summary: Verify that the incentive summary is calculated and saved successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","6","Cost Distribution: Verify sample cost and cost distribution are saved successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","4","Verify Sales Order Manager approves the sales order checklist","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","10","Create PPJO and Request Sample","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","8","Verify generate cost estimation and validate sample deatails and attachments","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","7","Verify that packing cost is generated and packing BOM is added successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","5","Verify that the cost estimation is approved and submitted to Sales successfully with Approved status reflected in history","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","10","Create enquiry and save Acrylic product details","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","7","Verify that packing labour is added and the packing summary is saved successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","5","Price Indication Slip: Verify Price Indication Slip is saved and Version 1 is submitted for approval successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","7","Verify that BOQ is created and BOQ details are generated successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","3","Verify Sales Enquiry status is updated to Sales Order Approved by Manager","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","9","Validate new sample request creation and verify new request status is reflected successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","8","Verify estimation request is displayed in the Estimation - Request (Sample) list","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","7","Verify consumables, BOM, and BOL entries are added successfully","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
"","9","Verify Sample Details, Request Estimation and status is updated to Pending From Estimation","chromium","2026-09-04","skipped","2026-09-04","Verify E2E flow of Sales Enquiry (Request Sample)","UI/sales/salesEnquirySample.spec.ts","",""
